,image_name,country
0,Afghanistan_flag.png,Afghanistan
1,Albania_flag.png,Albania
2,Algeria_flag.png,Algeria
3,Andorra_flag.png,Andorra
4,Angola_flag.png,Angola
5,Antigua_and_Barbuda_flag.png,Antigua and Barbuda
6,Argentina_flag.png,Argentina
7,Armenia_flag.png,Armenia
8,Australia_flag.png,Australia
9,Austria_flag.png,Austria
10,Azerbaijan_flag.png,Azerbaijan
11,Bahamas_flag.png,Bahamas
12,Bahrain_flag.png,Bahrain
13,Bangladesh_flag.png,Bangladesh
14,Barbados_flag.png,Barbados
15,Belarus_flag.png,Belarus
16,Belgium_flag.png,Belgium
17,Belize_flag.png,Belize
18,Benin_flag.png,Benin
19,Bhutan_flag.png,Bhutan
20,Bolivia_flag.png,Bolivia
21,Bosnia_and_Herzegovina_flag.png,Bosnia and Herzegovina
22,Botswana_flag.png,Botswana
23,Brazil_flag.png,Brazil
24,Brunei_flag.png,Brunei
25,Bulgaria_flag.png,Bulgaria
26,Burkina_Faso_flag.png,Burkina Faso
27,Burundi_flag.png,Burundi
28,Cabo_Verde_flag.png,Cabo Verde
29,Cambodia_flag.png,Cambodia
30,Cameroon_flag.png,Cameroon
31,Canada_flag.png,Canada
32,Central_African_Republic_flag.png,Central African Republic
33,Chad_flag.png,Chad
34,Chile_flag.png,Chile
35,China_flag.png,China
36,Colombia_flag.png,Colombia
37,Comoros_flag.png,Comoros
38,Congo_(Brazzaville)_flag.png,Congo (Brazzaville)
39,Congo_(Kinshasa)_flag.png,Congo (Kinshasa)
40,Costa_Rica_flag.png,Costa Rica
41,Croatia_flag.png,Croatia
42,Cuba_flag.png,Cuba
43,Cyprus_flag.png,Cyprus
44,Czech_Republic_flag.png,Czech Republic
45,Côte_d'Ivoire_flag.png,Côte d'Ivoire
46,Denmark_flag.png,Denmark
47,Djibouti_flag.png,Djibouti
48,Dominican_Republic_flag.png,Dominican Republic
49,Dominica_flag.png,Dominica
50,Ecuador_flag.png,Ecuador
51,Egypt_flag.png,Egypt
52,El_Salvador_flag.png,El Salvador
53,Equatorial_Guinea_flag.png,Equatorial Guinea
54,Eritrea_flag.png,Eritrea
55,Estonia_flag.png,Estonia
56,Eswatini_flag.png,Eswatini
57,Ethiopia_flag.png,Ethiopia
58,Fiji_flag.png,Fiji
59,Finland_flag.png,Finland
60,France_flag.png,France
61,Gabon_flag.png,Gabon
62,Gambia_flag.png,Gambia
63,Georgia_flag.png,Georgia
64,Germany_flag.png,Germany
65,Ghana_flag.png,Ghana
66,Greece_flag.png,Greece
67,Grenada_flag.png,Grenada
68,Guatemala_flag.png,Guatemala
69,Guinea-Bissau_flag.png,Guinea-Bissau
70,Guinea_flag.png,Guinea
71,Guyana_flag.png,Guyana
